"PLATFORM","RELEASE_YEAR","TITLE","RATING_VALUE"
"Prime Video",1946,"It's a Wonderful Life",84
"Prime Video",1947,"The Lady from Shanghai",70
"Prime Video",1948,"Louisiana Story",67
"Prime Video",1949,"He Walked by Night",61
"Prime Video",1950,"Sunset Boulevard",81
"Prime Video",1951,"Ace in the Hole",72
"Prime Video",1952,"High Noon",75
"Prime Video",1953,"Roman Holiday",77
"Prime Video",1954,"Rear Window",85
"Prime Video",1955,"To Catch a Thief",74
"Prime Video",1956,"Invasion of the Body Snatchers",73
"Prime Video",1957,"Funny Face",68
"Prime Video",1958,"Vertigo",84
"Prime Video",1959,"House on Haunted Hill",67
"Prime Video",1960,"Peeping Tom",71
"Prime Video",1961,"Night Tide",55
"Prime Video",1962,"Imperial Venus",39
"Prime Video",1963,"Charade",75
"Prime Video",1964,"The Naked Kiss",62
"Prime Video",1965,"The Pawnbroker",66
"Prime Video",1966,"The Endless Summer",65
"Prime Video",1967,"Guess Who's Coming to Dinner",73
"Prime Video",1968,"The Odd Couple",70
"Prime Video",1969,"The Italian Job",72
"Prime Video",1970,"Patton",77
"Prime Video",1971,"The French Connection",77
"Prime Video",1972,"The Discreet Charm of the Bourgeoisie",72
"Prime Video",1973,"The Wicker Man",75
"Prime Video",1974,"The Taking of Pelham One Two Three",71
"Prime Video",1975,"Trilogy of Terror",76
"Prime Video",1976,"1900",71
"Prime Video",1977,"Pumping Iron",67
"Prime Video",1978,"The 36th Chamber of Shaolin",68
"Prime Video",1979,"Alien",88
"Prime Video",1980,"The Elephant Man",80
"Prime Video",1981,"An American Werewolf in London",76
"Prime Video",1982,"E.T. the Extra-Terrestrial",83
"Prime Video",1983,"WarGames",76
"Prime Video",1984,"Top Secret!",73
"Prime Video",1985,"Ran",79
"Prime Video",1986,"Highlander",76
"Prime Video",1987,"Hellraiser",74
"Prime Video",1988,"The Accused",68
"Prime Video",1989,"The Abyss",79
"Prime Video",1990,"Awakenings",79
"Prime Video",1991,"The Fisher King",75
"Prime Video",1992,"Scent of a Woman",80
"Prime Video",1993,"Philadelphia",79
"Prime Video",1994,"I.Q.",63
"Prime Video",1995,"Crimson Tide",76
"Prime Video",1996,"Hard Eight",72
"Prime Video",1997,"Alien Resurrection",74
"Prime Video",1998,"The Mask of Zorro",74
"Prime Video",1999,"Fight Club",93
"Prime Video",2000,"Snatch",87
"Prime Video",2001,"A.I. Artificial Intelligence",79
"Prime Video",2002,"Adaptation.",79
"Prime Video",2003,"Big Fish",84
"Prime Video",2004,"I, Robot",82
"Prime Video",2005,"Hard Candy",75
"Prime Video",2006,"Perfume: The Story of a Murderer",78
"Prime Video",2007,"Chak De! India",90
"Prime Video",2008,"The Wrestler",81
"Prime Video",2009,"Rocket Singh: Salesman of the Year",79
"Prime Video",2010,"Jean-Michel Basquiat: The Radiant Child",77
"Prime Video",2011,"The Girl with the Dragon Tattoo",84
"Prime Video",2012,"Les Mis̩rables",80
"Prime Video",2013,"The Secret Life of Walter Mitty",80
"Prime Video",2014,"Love, Rosie",77
"Prime Video",2015,"Titli",81
"Prime Video",2016,"Sultan",83
"Prime Video",2017,"The Big Sick",79
"Prime Video",2018,"Tumbbad",93
"Prime Video",2019,"Gully Boy",91
"Prime Video",2020,"Borat Subsequent Moviefilm",88
"Prime Video",2021,"One Night in Miami...",86
